,id,symbol_id,candle_type,open_price,high_price,low_price,close_price,volume,vtt,atp,total_buy_quantity,total_sell_quantity,lower_circuit,upper_circuit,bids,asks,date,created_at,modified_at,macd,macd_signal,diff,percentage,,,,,,
0,707117,585,M5,189.85,190,186.2,189.45,979559,,,,,,,{},{},15:00.0,56:54.2,03:16.8,,,,,,,,,,
1,707118,585,M5,189.4,195.45,189.2,195,1509329,,,,,,,{},{},20:00.0,56:54.3,03:16.8,,,,,,,,,,
2,707119,585,M5,195.1,196,193.25,193.45,1057051,,,,,,,{},{},25:00.0,56:54.3,03:16.8,,,,,,,,,,
3,707120,585,M5,193.25,193.5,191.5,193.35,694505,,,,,,,{},{},30:00.0,56:54.3,03:16.8,,,,,,,,,,
4,707121,585,M5,193.15,194.2,192.95,193.3,417329,,,,,,,{},{},35:00.0,56:54.3,03:16.8,,,,,,,,,,
5,707122,585,M5,193.15,193.95,192.5,192.9,327537,,,,,,,{},{},40:00.0,56:54.3,03:16.8,,,,,,,,,,
6,707123,585,M5,192.95,194,192.85,193.4,225554,,,,,,,{},{},45:00.0,56:54.3,03:16.8,,,,,,,,,,
7,707124,585,M5,193.35,194.3,193,193.3,323885,,,,,,,{},{},50:00.0,56:54.3,03:16.8,,,,,,,,,,
8,707125,585,M5,193.3,193.95,192.35,192.85,260390,,,,,,,{},{},55:00.0,56:54.3,03:16.8,,,,,,,,,,
9,707126,585,M5,192.95,195.5,192.85,194.05,686326,,,,,,,{},{},00:00.0,56:54.3,03:16.8,,,,,,,,,,
10,707127,585,M5,194,200.35,193.9,200.2,1898925,,,,,,,{},{},05:00.0,56:54.3,03:16.8,,,,,,,,,,
11,707128,585,M5,200.5,209.6,200.5,208.25,3572222,,,,,,,{},{},10:00.0,56:54.3,03:16.8,,,,,,,,,,
12,707129,585,M5,208.35,213,208.3,209.4,2893436,,,,,,,{},{},15:00.0,56:54.3,03:16.8,,,,,,,,,,
13,707130,585,M5,209.2,210,206.05,206.5,1271379,,,,,,,{},{},20:00.0,56:54.3,03:16.8,,,,,,,,,,
14,707131,585,M5,206.65,209,206.5,208.25,722270,,,,,,,{},{},25:00.0,56:54.3,03:16.8,,,,,,,,,,
15,707132,585,M5,208.25,211,207.4,210.1,1033305,,,,,,,{},{},30:00.0,56:54.3,03:16.8,,,,,,,,,,
16,707133,585,M5,210.1,210.2,208.1,208.25,498236,,,,,,,{},{},35:00.0,56:54.3,03:16.8,,,,,,,,,,
17,707134,585,M5,208.3,210.6,208,209.85,658651,,,,,,,{},{},40:00.0,56:54.3,03:16.8,,,,,,,,,,
18,707135,585,M5,209.85,210,208.7,208.9,332539,,,,,,,{},{},45:00.0,56:54.3,03:16.8,,,,,,,,,,
19,707136,585,M5,208.95,209.45,208.2,208.5,338895,,,,,,,{},{},50:00.0,56:54.3,03:16.8,,,,,,,,,,
20,707137,585,M5,208.4,212.95,207.7,212.2,1440562,,,,,,,{},{},55:00.0,56:54.3,03:16.8,,,,,,,,,,
21,707138,585,M5,212.25,215.6,212,214.7,1976514,,,,,,,{},{},00:00.0,56:54.3,03:16.8,,,,,,,,,,
22,707139,585,M5,214.7,215,212.65,213.15,686720,,,,,,,{},{},05:00.0,56:54.4,03:16.8,,,,,,,,,,
23,707140,585,M5,213.15,216.5,212.6,215.7,1170331,,,,,,,{},{},10:00.0,56:54.4,03:16.8,,,,,,,,,,
24,707141,585,M5,215.55,216.3,215.55,215.7,593339,,,,,,,{},{},29/10/19 11:15,56:54.4,03:16.8,,,,,,,,,,
25,707142,585,M5,215.7,216.2,215.1,215.6,607514,,,,,,,{},{},29/10/19 11:20,56:54.4,03:16.8,3.439382873,,,,,,,,,
26,707143,585,M5,215.6,215.75,213.9,215.1,417793,,,,,,,{},{},29/10/19 11:25,56:54.4,03:16.8,3.392613552,,,,,,,,,
27,707144,585,M5,215,215.65,213.6,214.05,519011,,,,,,,{},{},29/10/19 11:30,56:54.4,03:16.8,3.241523848,,,,,,,,,
28,707145,585,M5,214.05,214.5,213.6,213.8,277067,,,,,,,{},{},29/10/19 11:35,56:54.4,03:16.8,3.06792033,,,,,,,,,
29,707146,585,M5,213.7,214.6,213.7,214.3,234727,,,,,,,{},{},29/10/19 11:40,56:54.4,03:16.8,2.933102256,,,,,,,,,
30,707147,585,M5,214.4,215,214.05,214.35,278902,,,,,,,{},{},29/10/19 11:45,56:54.4,03:16.8,2.79747902,,,,,,,,,
31,707148,585,M5,214.5,215,214.35,214.7,191149,,,,,,,{},{},29/10/19 11:50,56:54.4,03:16.8,2.684912503,,,,,,,,,
32,707149,585,M5,214.5,214.95,213.5,213.5,305937,,,,,,,{},{},29/10/19 11:55,56:54.4,03:16.8,2.477050672,,,,,,,,,
33,707150,585,M5,213.5,214.25,213.15,214.15,325474,,,,,,,{},{},29/10/19 12:00,56:54.4,03:16.8,2.334354467,2.728539222,-0.394184755,-0.92%,,-16.88624245,,,,
34,707151,585,M5,214.15,214.45,214.05,214.1,102239,,,,,,,{},{},29/10/19 12:05,56:54.4,03:16.8,2.19211276,2.608348555,-0.416235795,-0.91%,,-18.98788249,,,,
35,707152,585,M5,214.2,214.5,214.05,214.4,211758,,,,,,,{},{},29/10/19 12:10,56:54.4,03:16.8,2.07816848,2.492348184,-0.414179704,-0.86%,,-19.93003492,,,,
36,707153,585,M5,214.25,222.65,214.25,221.4,2162458,,,,,,,{},{},29/10/19 12:15,56:54.4,03:16.8,2.493834256,2.49266733,0.001166926,0.00%,,0.046792462,,,,
37,707154,585,M5,221.35,224.5,220.8,224,1823387,,,,,,,{},{},29/10/19 12:20,56:54.4,03:16.8,2.987608374,2.597414051,0.390194323,1.17%,,13.06042407,,,,
38,707155,585,M5,224.1,224.55,222.35,223.2,1247313,,,,,,,{},{},29/10/19 12:25,56:54.4,03:16.8,3.278824914,2.739965712,0.538859203,1.77%,,16.43452202,,,,
39,707156,585,M5,223.25,223.3,222.55,222.75,522448,,,,,,,{},{},29/10/19 12:30,56:54.4,03:16.8,3.434749687,2.883989908,0.550759779,1.89%,,16.03493208,,,,
40,707157,585,M5,223,224,222.85,223.4,508064,,,,,,,{},{},29/10/19 12:35,56:54.4,03:16.8,3.567217438,3.02459304,0.542624398,1.94%,,15.21141919,,,,
41,707158,585,M5,223.5,230.15,223.35,228.2,3001942,,,,,,,{},{},29/10/19 12:40,56:54.5,03:16.8,3.9989817,3.22396012,0.775021581,3.10%,,19.3804733,,,,
42,707159,585,M5,228.2,228.65,223.75,224.5,1707416,,,,,,,{},{},29/10/19 12:45,56:54.5,03:16.8,4.006000398,3.383237461,0.622762937,2.49%,,15.54575325,,,,
43,707160,585,M5,224.5,226.5,223.65,226,1032903,,,,,,,{},{},29/10/19 12:50,56:54.5,03:16.8,4.081521732,3.524936412,0.55658532,2.27%,,13.63671092,,,,
44,707161,585,M5,225.8,226.45,225,225.75,372543,,,,,,,{},{},29/10/19 12:55,56:54.5,03:16.8,4.074557204,3.636142692,0.438414513,1.79%,,10.75980752,,,,
45,707162,585,M5,225.75,228.7,225.3,227.55,955007,,,,,,,{},{},29/10/19 13:00,56:54.5,03:16.8,4.162198675,3.742333324,0.419865351,1.75%,,10.08758552,,,,
46,707163,585,M5,227.6,228,226.35,227.6,450097,,,,,,,{},{},29/10/19 13:05,56:54.5,03:16.8,4.187096561,3.831947205,0.355149356,1.49%,,8.481995839,,,,
47,707164,585,M5,227.6,227.75,226.5,226.7,310118,,,,,,,{},{},29/10/19 13:10,56:54.5,03:16.8,4.088559736,3.883574465,0.204985271,0.84%,Cross,5.01363033,,,,
48,707165,585,M5,226.65,227.75,226.6,227.1,291851,,,,,,,{},{},29/10/19 13:15,56:54.5,03:16.8,3.995859385,3.906138002,0.089721383,0.36%,,2.245358857,,,,
49,707166,585,M5,227.05,227.5,224.75,226.2,699190,,,,,,,{},{},29/10/19 13:20,56:54.5,03:16.8,3.807196935,3.886274748,-0.079077812,-0.30%,,-2.077061251,,,,
50,707167,585,M5,226.25,226.25,222.55,224.45,1078351,,,,,,,{},{},29/10/19 13:25,56:54.5,03:16.8,3.478869228,3.804546636,-0.325677407,-1.13%,SELL,-9.361588087,,,,
51,707168,585,M5,224.1,225,223,223.65,595848,,,,,,,{},{},29/10/19 13:30,56:54.5,03:16.8,3.119213653,3.667147829,-0.547934177,-1.71%,,-17.56642018,,,,
52,707169,585,M5,223.6,223.7,220.5,220.85,994837,,,,,,,{},{},29/10/19 13:35,56:54.5,03:16.8,2.582012967,3.449700252,-0.867687285,-2.24%,,-33.60507078,,,,
53,707170,585,M5,220.95,222.6,220.55,222.25,870056,,,,,,,{},{},29/10/19 13:40,56:54.5,03:16.8,2.24178649,3.207743089,-0.965956599,-2.17%,,-43.08869748,,,,
54,707171,585,M5,222.1,222.55,221,221.85,378225,,,,,,,{},{},29/10/19 13:45,56:54.5,03:16.8,1.918200489,2.949514898,-1.031314409,-1.98%,,-53.76468281,,,,
55,707172,585,M5,221.8,225.8,221.7,225.35,1335463,,,,,,,{},{},29/10/19 13:50,56:54.5,03:16.8,1.918540667,2.743115644,-0.824574977,-1.58%,,-42.97928062,,,,
56,707173,585,M5,225.2,225.3,223.2,223.2,403948,,,,,,,{},{},29/10/19 13:55,56:54.5,03:16.8,1.727374902,2.539806417,-0.812431516,-1.40%,,-47.03272665,,,,
57,707174,585,M5,223.2,224.9,223.2,224.55,280308,,,,,,,{},{},29/10/19 14:00,56:54.5,03:16.8,1.664445498,2.364623198,-0.7001777,-1.17%,,-42.06672437,,,,
58,707175,585,M5,224.55,225.2,223.7,224.25,283033,,,,,,,{},{},29/10/19 14:05,56:54.5,03:16.8,1.572456236,2.206109429,-0.633653193,-1.00%,,-40.29703203,,,,
59,707176,585,M5,224.4,225,223.75,223.95,336085,,,,,,,{},{},29/10/19 14:10,56:54.5,03:16.8,1.458736233,2.056574131,-0.597837898,-0.87%,,-40.98327611,,,,
60,707177,585,M5,223.9,223.95,222,222.6,524179,,,,,,,{},{},29/10/19 14:15,56:54.5,03:16.8,1.246226459,1.894451985,-0.648225526,-0.81%,,-52.0150669,,,,
61,707178,585,M5,222.45,223.75,222.4,222.55,323332,,,,,,,{},{},29/10/19 14:20,56:54.5,03:16.8,1.061571524,1.727832636,-0.666261112,-0.71%,,-62.76177321,,,,
62,707179,585,M5,222.45,223.6,222.4,222.75,207307,,,,,,,{},{},29/10/19 14:25,56:54.5,03:16.8,0.920639971,1.566360567,-0.645720596,-0.59%,,-70.13823171,,,,
63,707180,585,M5,222.8,223.25,220.8,221.25,465314,,,,,,,{},{},29/10/19 14:30,56:54.5,03:16.8,0.680879977,1.389235019,-0.708355042,-0.48%,,-104.0352287,,,,
64,707181,585,M5,221.15,222.7,221.15,222.55,376360,,,,,,,{},{},29/10/19 14:35,56:54.6,03:16.8,0.588338885,1.229034498,-0.640695613,-0.38%,,-108.8990766,,,,
65,707182,585,M5,222.6,222.75,218.75,219.25,1158748,,,,,,,{},{},29/10/19 14:40,56:54.6,03:16.8,0.247404685,1.032687656,-0.785282971,-0.19%,,-317.4082858,,,,
66,707183,585,M5,219.25,219.45,217,218.6,1512363,,,,,,,{},{},29/10/19 14:45,56:54.6,03:16.8,-0.074085458,0.811314201,-0.885399659,0.07%,,1195.105867,,,,
67,707184,585,M5,218.7,218.75,216.35,217.6,872490,,,,,,,{},{},29/10/19 14:50,56:54.6,03:16.8,-0.404479765,0.568138858,-0.972618623,0.39%,SELL,240.4616268,,,,
68,707185,585,M5,217.55,219.5,215.25,219,1564827,,,,,,,{},{},29/10/19 14:55,56:54.6,03:16.8,-0.547538572,0.344991223,-0.892529795,0.49%,,163.0076565,,,,
69,707186,585,M5,219.25,221.15,217.25,220.25,1233144,,,,,,,{},{},29/10/19 15:00,56:54.6,03:16.8,-0.554080022,0.165169141,-0.719249163,0.40%,,129.8096186,,,,
70,707187,585,M5,220.3,221.95,219.35,220.9,1132464,,,,,,,{},{},29/10/19 15:05,56:54.6,03:16.8,-0.501238757,0.031882917,-0.533121674,0.27%,,106.3608245,,,,
71,707188,585,M5,220.7,220.9,217.6,219.35,1055090,,,,,,,{},{},29/10/19 15:10,56:54.6,03:16.8,-0.577321541,-0.089961371,-0.48736017,0.28%,,84.41745814,,,,
72,707189,585,M5,219.15,219.35,217.45,218.25,1027524,,,,,,,{},{},29/10/19 15:15,56:54.6,03:16.8,-0.717798306,-0.215531558,-0.502266748,0.36%,,69.97324229,,,,
73,707190,585,M5,218.3,218.8,216.4,217,962149,,,,,,,{},{},29/10/19 15:20,56:54.6,03:16.8,-0.919073244,-0.356242406,-0.562830839,0.52%,,61.23895371,,,,
74,707191,585,M5,217,217.45,215.1,215.6,661365,,,,,,,{},{},29/10/19 15:25,56:54.6,03:16.8,-1.177640378,-0.520524345,-0.657116033,0.77%,,55.79938029,,,,
75,707192,585,M5,217.8,223.9,217.25,222.65,1902782,,,,,,,{},{},30/10/19 9:15,56:54.6,03:16.8,-0.805901311,-0.57760039,-0.228300921,0.18%,,28.32864497,,,,
76,707193,585,M5,222.5,222.9,217.45,218.55,1340329,,,,,,,{},{},30/10/19 9:20,56:54.6,03:16.8,-0.831728954,-0.628426567,-0.203302387,0.17%,,24.44334616,,,,
77,707194,585,M5,218.5,218.75,208.6,210.35,2375088,,,,,,,{},{},30/10/19 9:25,56:54.6,03:16.8,-1.495110703,-0.801764661,-0.693346042,1.04%,,46.37422773,,,,
78,707195,585,M5,210.35,210.35,204.45,207.15,2533182,,,,,,,{},{},30/10/19 9:30,56:54.6,03:16.8,-2.252523382,-1.091918101,-1.160605281,2.61%,,51.52467184,,,,
79,707196,585,M5,207.3,208.5,205.6,206.5,1011392,,,,,,,{},{},30/10/19 9:35,56:54.6,03:16.8,-2.871994278,-1.447935002,-1.424059276,4.09%,,49.58433543,,,,
80,707197,585,M5,206.5,209.7,206.3,208.25,846749,,,,,,,{},{},30/10/19 9:40,56:54.6,03:16.8,-3.185237454,-1.795396792,-1.389840662,4.43%,,43.63381639,,,,
81,707198,585,M5,208.15,210.75,207.6,210.3,767380,,,,,,,{},{},30/10/19 9:45,56:54.6,03:16.8,-3.231084759,-2.082535245,-1.148549514,3.71%,,35.54687047,,,,
82,707199,585,M5,210.3,210.9,208.9,210.7,538161,,,,,,,{},{},30/10/19 9:50,56:54.6,03:16.8,-3.198314508,-2.305691632,-0.892622876,2.85%,,27.90916508,,,,
83,707200,585,M5,210.6,212.95,210.2,210.9,1038324,,,,,,,{},{},30/10/19 9:55,56:54.6,03:16.8,-3.120252393,-2.468604096,-0.651648297,2.03%,,20.8844739,,,,
84,707201,585,M5,211.05,211.25,208.95,211,682895,,,,,,,{},{},30/10/19 10:00,56:54.6,03:16.8,-3.015561019,-2.577995648,-0.43756537,1.32%,,14.5102476,,,,
85,707202,585,M5,210.65,210.9,208.95,209.15,294348,,,,,,,{},{},30/10/19 10:05,56:54.6,03:16.8,-3.046562209,-2.671709075,-0.374853133,1.14%,,12.30413521,,,,
86,707203,585,M5,209,210.85,208.9,210.85,305672,,,,,,,{},{},30/10/19 10:10,56:54.7,03:16.8,-2.900668616,-2.717501028,-0.183167588,0.53%,,6.314667815,,,,
87,707204,585,M5,210.8,210.95,209.55,210.4,233172,,,,,,,{},{},30/10/19 10:15,56:54.7,03:16.8,-2.789163619,-2.731833558,-0.057330061,0.16%,,2.055457078,,,,
88,707205,585,M5,210.3,210.65,208.25,208.8,419792,,,,,,,{},{},30/10/19 10:20,56:54.7,03:16.8,-2.797522518,-2.744971358,-0.05255116,0.15%,,1.878489248,,,,
