,id,symbol_id,candle_type,open_price,high_price,low_price,close_price,volume,vtt,atp,total_buy_quantity,total_sell_quantity,lower_circuit,upper_circuit,bids,asks,date,created_at,modified_at,stoch,stoch_signal
0,707117,585,M5,189.85,190.0,186.2,189.45,979559,,,,,,,{},{},2019-10-29 09:15:00.000000,2019-11-01 16:56:54.210554,2019-11-01 10:03:16.762851,85.52631578947343,85.52631578947343
1,707118,585,M5,189.4,195.45,189.2,195.0,1509329,,,,,,,{},{},2019-10-29 09:20:00.000000,2019-11-01 16:56:54.259065,2019-11-01 10:03:16.762917,95.13513513513526,90.33072546230434
2,707119,585,M5,195.1,196.0,193.25,193.45,1057051,,,,,,,{},{},2019-10-29 09:25:00.000000,2019-11-01 16:56:54.265064,2019-11-01 10:03:16.762977,73.97959183673461,84.88034758711443
3,707120,585,M5,193.25,193.5,191.5,193.35,694505,,,,,,,{},{},2019-10-29 09:30:00.000000,2019-11-01 16:56:54.269635,2019-11-01 10:03:16.763035,72.95918367346935,80.69130354844641
4,707121,585,M5,193.15,194.2,192.95,193.3,417329,,,,,,,{},{},2019-10-29 09:35:00.000000,2019-11-01 16:56:54.274318,2019-11-01 10:03:16.763092,72.44897959183689,73.1292517006803
5,707122,585,M5,193.15,193.95,192.5,192.9,327537,,,,,,,{},{},2019-10-29 09:40:00.000000,2019-11-01 16:56:54.278313,2019-11-01 10:03:16.763150,68.36734693877561,71.25850340136063
6,707123,585,M5,192.95,194.0,192.85,193.4,225554,,,,,,,{},{},2019-10-29 09:45:00.000000,2019-11-01 16:56:54.283596,2019-11-01 10:03:16.763228,73.46938775510213,71.42857142857156
7,707124,585,M5,193.35,194.3,193.0,193.3,323885,,,,,,,{},{},2019-10-29 09:50:00.000000,2019-11-01 16:56:54.287610,2019-11-01 10:03:16.763285,72.44897959183689,71.42857142857154
8,707125,585,M5,193.3,193.95,192.35,192.85,260390,,,,,,,{},{},2019-10-29 09:55:00.000000,2019-11-01 16:56:54.291797,2019-11-01 10:03:16.763342,67.85714285714283,71.25850340136061
9,707126,585,M5,192.95,195.5,192.85,194.05,686326,,,,,,,{},{},2019-10-29 10:00:00.000000,2019-11-01 16:56:54.296150,2019-11-01 10:03:16.763401,80.10204081632666,73.46938775510213
10,707127,585,M5,194.0,200.35,193.9,200.2,1898925,,,,,,,{},{},2019-10-29 10:05:00.000000,2019-11-01 16:56:54.300866,2019-11-01 10:03:16.763458,98.93992932862187,82.29970433403047
11,707128,585,M5,200.5,209.6,200.5,208.25,3572222,,,,,,,{},{},2019-10-29 10:10:00.000000,2019-11-01 16:56:54.305579,2019-11-01 10:03:16.763515,94.23076923076924,91.09091312523928
12,707129,585,M5,208.35,213.0,208.3,209.4,2893436,,,,,,,{},{},2019-10-29 10:15:00.000000,2019-11-01 16:56:54.309830,2019-11-01 10:03:16.763573,86.56716417910451,93.24595424616523
13,707130,585,M5,209.2,210.0,206.05,206.5,1271379,,,,,,,{},{},2019-10-29 10:20:00.000000,2019-11-01 16:56:54.314641,2019-11-01 10:03:16.763629,75.74626865671642,85.51473402219675
